timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1523826140.14062595,5628921,0.0,3.22,0.0,3.9,0.0,7.44,1.0,0.51
1523826140.17977691,5668072,0.0,3.2,0.0,3.91,0.0,7.4,1.0,0.51
1523826140.22004485,5708340,0.0,3.24,0.0,3.92,0.0,7.34,0.8,0.51
1523826140.25981498,5748110,0.0,3.34,0.0,3.95,0.0,7.3,0.8,0.41
1523826140.29969192,5787987,0.0,3.44,0.0,3.98,0.0,7.3,0.8,0.41
1523826140.33971095,5828006,0.0,3.48,0.0,4.04,0.0,7.29,0.8,0.33
1523826140.37962890,5867924,0.0,3.47,0.0,4.04,0.0,7.26,0.8,0.33
1523826140.42000198,5908297,0.0,3.42,0.0,4.02,0.0,7.29,0.8,0.33
1523826140.45982003,5948115,0.0,3.32,0.0,4.06,0.0,7.26,0.64,0.26
1523826140.49971700,5988012,0.0,3.3,0.0,4.13,0.0,7.18,0.64,0.26
1523826140.54009700,6028392,0.0,3.38,0.0,4.18,0.0,7.16,0.64,0.21
1523826140.57972789,6068023,0.0,3.37,0.0,4.05,0.0,7.24,0.64,0.21
1523826140.62010884,6108404,0.0,3.35,0.0,4.02,0.0,7.27,0.64,0.21
1523826140.65975404,6148049,0.0,3.36,0.0,4.02,0.0,7.27,0.51,0.17
1523826140.69983196,6188127,0.0,3.36,0.0,4.03,0.0,7.25,0.51,0.17
1523826140.73985791,6228153,0.0,3.38,0.0,4.03,0.0,7.22,0.51,0.13
1523826140.77973700,6268032,0.0,3.39,0.0,4.04,0.0,7.23,0.51,0.13
1523826140.81997681,6308272,0.0,3.4,0.0,4.05,0.0,7.24,0.51,0.13
1523826140.85966802,6347963,0.0,3.41,0.0,4.05,0.0,7.25,0.41,0.11
1523826140.89967203,6387967,0.0,3.41,0.0,4.05,0.0,7.24,0.41,0.11
1523826140.93991995,6428215,0.0,3.42,0.0,4.05,0.0,7.23,0.41,0.09
1523826140.97964692,6467942,0.0,3.42,0.0,4.05,0.0,7.27,0.41,0.09
1523826141.02296686,6511262,0.0,3.43,0.0,4.05,0.0,7.3,0.41,0.09
1523826141.06011200,6548407,0.0,3.43,0.0,4.05,0.0,7.33,0.32,0.07
1523826141.10030985,6588605,0.0,3.44,0.0,4.06,0.0,7.37,0.32,0.07
1523826141.14014602,6628441,0.0,3.45,0.0,4.06,0.0,7.41,0.32,0.06
1523826141.17976689,6668062,0.0,3.45,0.0,4.06,0.0,7.37,0.32,0.06
1523826141.22074485,6709040,0.0,3.45,0.0,4.07,0.0,7.34,0.32,0.06
1523826141.25969982,6747995,0.0,3.45,0.0,4.07,0.0,7.3,0.32,0.05
1523826141.29968286,6787978,0.0,3.45,0.0,4.07,0.0,7.27,0.26,0.05
1523826141.33994985,6828245,0.0,3.44,0.0,4.07,0.0,7.24,0.26,0.04
1523826141.37961197,6867907,0.0,3.44,0.0,4.06,0.0,7.23,0.26,0.04
1523826141.42009902,6908394,0.0,3.44,0.0,4.06,0.0,7.22,0.26,0.04
1523826141.45979881,6948094,0.0,3.43,0.0,4.05,0.0,7.18,0.26,0.03
1523826141.49970198,6987997,0.0,3.42,0.0,4.05,0.0,7.11,0.21,0.03
1523826141.54011202,7028407,0.0,3.42,0.0,4.05,0.0,7.04,0.21,0.03
1523826141.57967687,7067972,0.0,3.41,0.0,4.05,0.0,6.95,0.21,0.03
1523826141.62021995,7108515,0.0,3.4,0.0,4.05,0.0,6.87,0.21,0.03
1523826141.65980792,7148103,0.0,3.39,0.0,4.05,0.0,6.8,0.21,0.03
1523826141.69988585,7188181,0.0,3.39,0.0,4.05,0.0,6.74,0.16,0.03
1523826141.73994803,7228243,0.0,3.38,0.0,4.05,0.0,6.69,0.16,0.02
1523826141.77963591,7267931,0.0,3.38,0.0,4.05,0.0,6.68,0.16,0.02
1523826141.82002592,7308321,0.0,3.38,0.0,4.04,0.0,6.68,0.16,0.02
1523826141.85996699,7348262,0.0,3.38,0.0,4.04,0.0,6.66,0.16,0.02
1523826141.89973593,7388031,0.0,3.38,0.0,4.04,0.0,6.63,0.13,0.02
1523826141.93993402,7428229,0.0,3.37,0.0,4.04,0.0,6.6,0.13,0.02
1523826141.97969198,7467987,0.0,3.37,0.0,4.04,0.0,6.56,0.13,0.02
1523826142.02074194,7509037,0.0,3.36,0.0,4.03,0.0,6.52,0.13,0.02
1523826142.05996895,7548264,0.0,3.36,0.0,4.03,0.0,6.48,0.13,0.02
1523826142.10000181,7588297,0.0,3.35,0.0,4.03,0.0,6.42,0.13,0.02
1523826142.14008093,7628376,0.0,3.35,0.0,4.03,0.0,6.37,0.1,0.02
1523826142.17985082,7668146,0.0,3.35,0.0,4.03,0.0,6.3,0.1,0.02
1523826142.22012186,7708417,0.0,3.34,0.0,4.03,0.0,6.24,0.1,0.02
1523826142.26004386,7748339,0.0,3.34,0.0,4.03,0.0,6.2,0.1,0.01
1523826142.29991388,7788209,0.0,3.34,0.0,4.03,0.0,6.19,0.1,0.01
1523826142.33997488,7828270,0.0,3.35,0.0,4.03,0.0,6.18,0.08,0.01
1523826142.37982392,7868119,0.0,3.35,0.0,4.03,0.0,6.14,0.08,0.01
1523826142.41998696,7908282,0.0,3.35,0.0,4.03,0.0,6.1,0.08,0.01
1523826142.46010780,7948403,0.0,3.35,0.0,4.03,0.0,6.09,0.08,0.01
1523826142.49993181,7988227,0.0,3.36,0.0,4.02,0.0,6.11,0.08,0.01
1523826142.54019785,8028493,0.0,3.36,0.0,4.02,0.0,6.13,0.08,0.01
1523826142.57979584,8068091,0.0,3.37,0.0,4.02,0.0,6.13,0.07,0.01
1523826142.62011886,8108414,0.0,3.37,0.0,4.02,0.0,6.14,0.07,0.01
1523826142.65974903,8148044,0.0,3.38,0.0,4.02,0.0,6.15,0.07,0.01
1523826142.69983983,8188135,0.0,3.38,0.0,4.02,0.0,6.16,0.07,0.01
1523826142.74001884,8228314,0.0,3.39,0.0,4.02,0.0,6.17,0.07,0.01
1523826142.77988887,8268184,0.0,3.39,0.0,4.03,0.0,6.14,0.05,0.01
