timestamp,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
1523828635.20113087,16866533,3,78250200,1997,13,0.82,39.8419628,-105.2124778,1805.11,0.0900000035763,0.0,0.0590000040829,1
1523828635.42193675,17087339,3,78250400,1997,13,0.83,39.8419677,-105.2124824,1807.0,0.276000022888,0.0,0.0870000049472,1
1523828635.60139775,17266800,3,78250600,1997,13,0.83,39.8419723,-105.2124853,1808.16,0.102000005543,0.0,-0.031000001356,1
1523828635.80136490,17466767,3,78250800,1997,13,0.83,39.8419744,-105.2124876,1809.13,0.0170000009239,0.0,0.0680000036955,1
1523828636.00140285,17666805,3,78251000,1997,14,0.75,39.8419784,-105.2124925,1808.96,0.0670000016689,0.0,0.0010000000475,1
1523828636.20134282,17866745,3,78251200,1997,14,0.75,39.8419832,-105.2125002,1808.94,0.0250000003725,0.0,0.0180000010878,1
1523828636.44139981,18106802,3,78251400,1997,15,0.72,39.8419868,-105.212507,1808.98,0.0430000014603,0.0,0.0960000008345,1
1523828636.60106087,18266463,3,78251600,1997,14,0.77,39.8419859,-105.2125075,1809.53,0.069000005722,0.0,0.070000000298,1
1523828636.80131292,18466715,3,78251800,1997,14,0.77,39.8419848,-105.2125085,1810.1,0.0490000024438,0.0,0.0780000016093,1
1523828637.00150180,18666904,3,78252000,1997,15,0.73,39.8419847,-105.2125104,1810.43,0.0650000050664,0.0,-0.0300000011921,1
1523828637.20120883,18866611,3,78252200,1997,15,0.73,39.8419845,-105.2125122,1810.72,0.0840000063181,0.0,0.12800000608,1
1523828637.40111089,19066513,3,78252400,1997,17,0.67,39.8419853,-105.2125164,1810.67,0.0640000030398,0.0,-0.0170000009239,1
1523828637.60138679,19266789,3,78252600,1997,17,0.67,39.8419865,-105.2125194,1810.69,0.0340000018477,0.0,0.0390000008047,1
1523828637.80120087,19466603,3,78252800,1997,17,0.67,39.841987,-105.21252,1810.95,0.0910000056028,0.0,0.0560000017285,1
1523828638.00120473,19666607,3,78253000,1997,17,0.67,39.8419871,-105.2125202,1811.1,0.0650000050664,0.0,0.112000003457,1
1523828638.20100880,19866411,3,78253200,1997,17,0.67,39.8419864,-105.2125197,1811.15,0.0720000043511,0.0,0.0329999998212,1
1523828638.42205191,20087454,3,78253400,1997,17,0.67,39.8419855,-105.2125198,1811.28,0.0120000001043,0.0,0.0450000017881,1
1523828638.60111690,20266519,3,78253600,1997,17,0.67,39.8419847,-105.2125204,1811.54,0.0720000043511,0.0,-0.0270000007004,1
1523828638.80116177,20466564,3,78253800,1997,17,0.67,39.8419838,-105.2125205,1811.75,0.0390000008047,0.0,-0.00800000037998,1
1523828639.00117874,20666581,3,78254000,1997,17,0.67,39.8419827,-105.2125205,1811.92,0.062000002712,0.0,-0.0170000009239,1
1523828639.20098472,20866387,3,78254200,1997,17,0.67,39.8419822,-105.2125207,1812.12,0.0460000038147,0.0,0.0240000002086,1
1523828639.40115094,21066553,3,78254400,1997,17,0.67,39.8419816,-105.212521,1812.25,0.0730000063777,0.0,-0.0540000014007,1
